# RELIQUARY — UI-Übersetzung Französisch
# Format: englischer Text <TAB> Übersetzung. '#' = Kommentar.
# Werte werden NICHT getrimmt — Leerzeichen in Bausteinen sind Absicht.
# Konventionen: vouvoiement; Sort/Sort rapide, Artefact, Relique, Cimetière, Bannissement;
# Phasennamen bleiben englisch (wie de); ATK/DEF/LP bleiben; INFUSED bleibt; Lien = Gage.
# ---------- Kartenrahmen / Kartentypen ----------
MONSTER	MONSTRE
SPELL	SORT
ARTIFACT	ARTEFACT
RELIQUARY	RELIQUE
PLAYER	JOUEUR
HERO	HÉROS
QUICK	RAPIDE
NORMAL	NORMAL
QUICK SPELL	SORT RAPIDE
Quick Spell	Sort rapide
Spell Card	Carte Sort
Artifact	Artefact
Monster	Monstre
Player	Joueur
Field	Terrain
FIELD	TERRAIN
LIEN	GAGE
SUMMON:	INVOCATION :
PASSIVE:	PASSIF :
INFUSED	INFUSED
OR INFUSED	OU INFUSED
INFUSED UPGRADE	AMÉLIORATION INFUSED
RELIQUARY SUMMON	INVOCATION DE RELIQUE
SPECIAL SUMMON	INVOCATION SPÉCIALE
PASSIVE	PASSIF
{0} MANA	{0} MANA
NO MANA	SANS MANA
No effect.	Aucun effet.
— or, instead —	— ou, à la place —
Equipped:	Équipé :
You cannot see this card.	Vous ne pouvez pas voir cette carte.
Face-down card	Carte face cachée
{0} • Level {1} • ATK {2} / DEF {3}	{0} • Niveau {1} • ATK {2} / DEF {3}
Player Card • {0} starting LP	Carte Joueur • {0} LP de départ
# ---------- Attribute ----------
FIRE	FEU
WATER	EAU
LIGHT	LUMIÈRE
DARK	TÉNÈBRES
EARTH	TERRE
WIND	VENT
Fire	Feu
Water	Eau
Light	Lumière
Dark	Ténèbres
Earth	Terre
Wind	Vent
# ---------- Monster-Typen ----------
DRAGON	DRAGON
HUMAN	HUMAIN
ANIMAL	ANIMAL
BEAST	BÊTE
MECHA	MÉCHA
DEMON	DÉMON
ANGEL	ANGE
MYTH	MYTHE
Dragon	Dragon
Human	Humain
